FrameID,ID,QR 2D,QR 3D: dis,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
274,0,"[(408, 63), (467, 59), (472, 119), (415, 123)]",2.0941084750020877,-4.053864371257959,-0.4963962786218612,-171.69709180618142
317,1,"[(615, 84), (640, 88), (637, 114), (611, 112)]",4.494346782467604,1.8004741718880268,-14.978805750666131,-153.95617773167103
365,3,"[(487, 122), (503, 123), (502, 139), (486, 139)]",7.1711886684250095,-6.335332821498412,-26.70008519514338,-147.21511375102614
419,2,"[(273, 63), (305, 62), (304, 102), (274, 103)]",3.314708947688719,-36.53800639010964,-57.54977327498842,-126.64389818178296
423,5,"[(69, 77), (87, 78), (87, 96), (69, 95)]",8.053416854699275,2.649385017874636,-1.750997131152742,-176.06421767576532
432,4,"[(235, 158), (244, 158), (245, 167), (236, 167)]",14.674891603445928,-0.9113656084302306,-3.682247578956459,-166.84685180898228
456,7,"[(359, 273), (359, 264), (368, 264), (368, 273)]",13.243475134913323,-89.99999999999916,8.021514062084403e-09,-179.9999999757795
534,6,"[(312, 235), (321, 235), (321, 243), (312, 243)]",14.434686257488702,-2.0102490456503688,-13.056086482878518,168.21604087192983
835,8,"[(540, 23), (638, 18), (628, 128), (528, 127)]",1.1065458039250349,5.764413502488537,18.7627582072624,179.6107082734159
936,9,"[(405, 19), (461, 16), (468, 78), (412, 81)]",2.132592302454151,-0.6465365201545126,6.094313154152755,-162.28244594080954
1057,10,"[(18, 120), (34, 122), (37, 146), (21, 144)]",6.240054380700258,10.68762856732343,18.412119833855566,-162.79758902528468
